"id_libro","titulo","genero","precio","id_autor"
"1","Cien Años de Soledad","Realismo Mágico","19.99","1"
"2","La Casa de los Espíritus","Novela","15.50","2"
"3","La Ciudad y los Perros","Novela","18.75","3"
"4","Cien años de soledad","Realismo Mágico","25.50","1"
"5","La casa de los espíritus","Ficción","22.00","2"
"6","Ficciones","Relato corto","18.90","3"
"7","Rayuela","Novela","21.00","4"
"8","La ciudad y los perros","Novela","19.50","5"
"9","Como agua para chocolate","Realismo Mágico","15.00","6"
"10","La muerte de Artemio Cruz","Novela","17.80","7"
"11","Desolación","Poesía","12.00","8"
"12","Veinte poemas de amor","Poesía","10.50","9"
"13","El laberinto de la soledad","Ensayo","14.00","10"
